  N  P   K  Soil_pH  Soil_Moisture  Organic_Carbon  Temperature  Humidity  Rainfall  Sunlight_Hours  Wind_Speed Crop_Type  Crop_Yield_ton_per_hectare
132 62  22     6.35          59.78            0.43        22.97     53.89   1305.68            7.73       15.96     Maize                       11.42
122 71  66     5.98          25.54            0.65        17.00     76.90   1942.05            9.25       12.60    Potato                       23.19
 44 35 104     8.07          25.87            0.79        25.52     44.78   2216.20            8.50       15.63      Rice                        7.94
136 96 113     4.83          42.97            0.45        18.59     31.89    607.18            8.75        5.49 Sugarcane                       72.53
101 34  42     5.84          48.01            0.69        22.74     46.27    483.47            8.00        7.44     Wheat                        6.72
 50 29  22     6.87          32.73            1.20        13.88     68.91   1993.65           10.17       11.25      Rice                        8.67
132 83 148     7.46          40.98            0.92        14.92     87.21   2433.33           10.28       13.82    Potato                       26.96
151 91  86     7.58          26.39            0.85        28.42     53.74   1499.40            8.24       17.70      Rice                        9.51
104 65  90     4.96          21.80            0.86        26.96     77.85   1881.33            9.12        2.16    Cotton                        7.01
117 90  86     7.21          26.91            1.29        15.14     42.03   1045.25            7.24       10.21 Sugarcane                       75.10
146 76  74     7.25          60.82            1.59        18.84     81.11   2486.29            5.89       10.32    Cotton                        7.54
129 99  50     5.53          55.09            1.07        16.64     75.93   2228.76            8.45       16.40     Maize                        8.02
133 51  85     5.18          22.01            1.28        33.92     56.89   1767.96            9.71        5.01     Maize                        7.09
160 20 120     7.35          17.33            0.78        20.94     83.69   1066.50            5.84        3.71    Potato                       23.00
179 85  83     5.65          19.66            1.42        22.18     32.27   1395.15            8.38        9.20    Potato                       25.45
 82 40  50     4.81          29.67            0.85        29.95     77.15    998.65            8.36       13.34     Wheat                        6.89
 31 22 136     5.56          55.57            1.52        19.77     32.11   1378.81           10.43       17.52    Potato                       21.58
117 87  85     4.91          31.07            1.27        21.33     81.90    424.46            9.31       10.72     Maize                        8.81
 67 18  66     5.65          24.28            1.22        33.94     40.61    564.12            9.68       13.33      Rice                        5.55
159 35  41     5.94          34.79            0.68        33.84     32.30    843.05            8.00        5.73    Cotton                        8.71
 50 45 113     5.72          21.20            1.33        28.14     48.53   2559.99            9.09       12.50      Rice                        7.70
 87 35 102     7.93          38.51            0.44        26.77     40.72   1463.51            5.71        5.12      Rice                        9.21
 51 39  65     5.59          48.78            1.00        15.43     69.11   1501.43            8.06        9.42 Sugarcane                       75.13
118 29 108     6.39          33.44            1.26        24.20     58.34   1621.79            8.64        1.79    Potato                       26.69
