       N        P        K  Soil_pH  Soil_Moisture  Organic_Carbon  Temperature  Humidity  Rainfall  Sunlight_Hours  Wind_Speed Crop_Type  Crop_Yield_ton_per_hectare
0.684564 0.559524 0.015504 0.455882       0.895779        0.100000     0.432333  0.398133  0.402224        0.532857    0.880000     Maize                       11.42
0.617450 0.666667 0.356589 0.347059       0.210842        0.269231     0.233333  0.781761  0.656918        0.750000    0.682353    Potato                       23.19
0.093960 0.238095 0.651163 0.961765       0.217443        0.376923     0.517333  0.246249  0.766642        0.642857    0.860588      Rice                        7.94
0.711409 0.964286 0.720930 0.008824       0.559512        0.115385     0.286333  0.031344  0.122663        0.678571    0.264118 Sugarcane                       72.53
0.476510 0.226190 0.170543 0.305882       0.660332        0.300000     0.424667  0.271090  0.073150        0.571429    0.378824     Wheat                        6.72
0.134228 0.166667 0.015504 0.608824       0.354671        0.692308     0.129333  0.648550  0.677570        0.881429    0.602941      Rice                        8.67
0.684564 0.809524 0.992248 0.782353       0.519704        0.476923     0.164000  0.953651  0.853544        0.897143    0.754118    Potato                       26.96
0.812081 0.904762 0.511628 0.817647       0.227846        0.423077     0.614000  0.395632  0.479756        0.605714    0.982353      Rice                        9.51
0.496644 0.595238 0.542636 0.047059       0.136027        0.430769     0.565333  0.797599  0.632616        0.731429    0.068235    Cotton                        7.01
0.583893 0.892857 0.511628 0.708824       0.238248        0.761538     0.171333  0.200400  0.297992        0.462857    0.541765 Sugarcane                       75.10
0.778523 0.726190 0.418605 0.720588       0.916583        0.992308     0.294667  0.851951  0.874740        0.270000    0.548235    Cotton                        7.54
0.664430 1.000000 0.232558 0.214706       0.801960        0.592308     0.221333  0.765589  0.771668        0.635714    0.905882     Maize                        8.02
0.691275 0.428571 0.503876 0.111765       0.140228        0.753846     0.797333  0.448149  0.587242        0.815714    0.235882     Maize                        7.09
0.872483 0.059524 0.775194 0.750000       0.046609        0.369231     0.364667  0.894965  0.306497        0.262857    0.159412    Potato                       23.00
1.000000 0.833333 0.488372 0.250000       0.093219        0.861538     0.406000  0.037679  0.438032        0.625714    0.482353    Potato                       25.45
0.348993 0.297619 0.232558 0.002941       0.293459        0.423077     0.665000  0.785929  0.279341        0.622857    0.725882     Wheat                        6.89
0.006711 0.083333 0.899225 0.223529       0.811562        0.938462     0.325667  0.035012  0.431493        0.918571    0.971765    Potato                       21.58
0.583893 0.857143 0.503876 0.032353       0.321464        0.746154     0.377667  0.865122  0.049533        0.758571    0.571765     Maize                        8.81
0.248322 0.035714 0.356589 0.250000       0.185637        0.707692     0.798000  0.176726  0.105429        0.811429    0.725294      Rice                        5.55
0.865772 0.238095 0.162791 0.335294       0.395879        0.292308     0.794667  0.038179  0.217065        0.571429    0.278235    Cotton                        8.71
0.134228 0.357143 0.720930 0.270588       0.124025        0.792308     0.604667  0.308770  0.904237        0.727143    0.676471      Rice                        7.70
0.382550 0.238095 0.635659 0.920588       0.470294        0.107692     0.559000  0.178560  0.465392        0.244286    0.242353      Rice                        9.21
0.140940 0.285714 0.348837 0.232353       0.675735        0.538462     0.181000  0.651884  0.480569        0.580000    0.495294 Sugarcane                       75.13
0.590604 0.166667 0.682171 0.467647       0.368874        0.738462     0.473333  0.472324  0.528741        0.662857    0.046471    Potato                       26.69
0.322148 0.404762 0.914729 0.958824       0.173635        0.884615     0.274333  0.129543  0.500196        0.834286    0.323529     Wheat                        8.19
0.389262 0.571429 0.348837 0.879412       0.453291        0.569231     0.729667  0.916305  0.085978        0.165714    0.781765    Potato                       24.90
0.093960 0.500000 0.000000 0.308824       0.762553        0.261538     0.628000  0.367789  0.323402        0.327143    0.067647 Sugarcane                       73.60
0.335570 0.476190 0.736434 0.326471       0.076615        0.846154     0.377667  0.282761  0.067239        0.791429    0.318235    Potato                       24.25
0.718121 0.428571 0.465116 0.594118       0.071014        0.769231     0.535000  0.698066  0.069388        0.434286    0.170588 Sugarcane                       75.45
0.362416 0.666667 0.806202 0.917647       0.318264        0.153846     0.421000  0.393464  0.076984        0.484286    0.627647     Maize                       10.23
0.422819 0.488095 0.620155 0.008824       0.415083        0.869231     0.146333  0.145382  0.897673        0.620000    0.743529     Maize                        8.44
0.872483 0.547619 0.100775 0.394118       0.216443        0.961538     0.780667  0.582361  0.218814        0.727143    0.110000 Sugarcane                       75.78
0.335570 0.714286 0.341085 0.850000       0.027005        0.538462     0.898333  0.030177  0.067079        0.288571    0.522941     Wheat                        5.64
0.899329 0.154762 0.589147 0.411765       0.219644        0.038462     0.930333  0.627209  0.002577        0.864286    0.681176 Sugarcane                       73.16
0.134228 0.797619 0.503876 0.720588       0.435487        0.915385     0.789333  0.867623  0.613337        0.364286    0.990000    Potato                       23.21
0.483221 0.619048 0.240310 0.691176       0.079416        0.123077     0.821667  0.261921  0.617051        0.261429    0.217647      Rice                       10.28
0.114094 0.988095 0.736434 0.205882       0.715943        0.630769     0.055667  0.852451  0.264813        0.700000    0.073529     Wheat                        8.99
0.879195 0.392857 0.441860 0.450000       0.552310        0.400000     0.782000  0.244915  0.279949        0.360000    0.257647      Rice                        9.48
0.590604 0.892857 0.798450 0.567647       0.434487        0.992308     0.303333  0.202401  0.338107        0.505714    0.560588     Wheat                       10.53
0.395973 0.273810 0.426357 0.714706       0.518904        0.915385     0.137667  0.715405  0.354020        0.330000    0.632941    Potato                       22.95
0.087248 0.226190 0.511628 0.823529       0.655931        0.784615     0.522000  0.065355  0.777172        0.852857    0.378824     Wheat                        9.77
0.053691 0.809524 0.906977 0.758824       0.994999        0.200000     0.570333  0.040514  0.939865        0.500000    0.434118     Maize                       11.00
0.597315 0.345238 0.286822 0.029412       0.775355        0.700000     0.484667  0.455985  0.588267        0.065714    0.547647 Sugarcane                       75.51
0.348993 0.071429 0.860465 0.670588       0.540508        0.569231     0.652667  0.034011  0.391978        0.057143    0.155294      Rice                        7.86
0.865772 0.416667 0.410853 0.497059       0.770754        0.138462     0.714333  0.496666  0.294682        0.364286    0.961765     Wheat                       11.45
0.557047 0.440476 0.255814 0.573529       0.475295        0.792308     0.137000  0.649550  0.829686        0.407143    0.672941      Rice                       10.81
0.610738 0.940476 0.294574 0.373529       0.311062        0.084615     0.617000  0.228076  0.089852        0.037143    0.521176      Rice                        9.97
0.738255 0.607143 0.860465 0.714706       0.262052        0.484615     0.054333  0.898966  0.433157        0.852857    0.731765      Rice                        9.27
0.046980 0.166667 0.674419 0.673529       0.399480        0.423077     0.448667  0.200233  0.665403        0.507143    0.098824    Potato                       28.05
0.228188 0.535714 0.364341 0.579412       0.002200        0.807692     0.100000  0.237412  0.250420        0.547143    0.786471    Potato                       23.79
0.536913 0.261905 0.372093 0.861765       0.177035        0.430769     0.449667  0.913138  0.134361        0.651429    0.192941    Potato                       23.37
0.328859 0.130952 0.255814 0.102941       0.126625        0.692308     0.175333  0.687563  0.651887        0.217143    0.080000     Maize                        9.40
0.691275 0.511905 0.767442 0.300000       0.960592        0.476923     0.734333  0.528676  0.599605        0.522857    0.884706      Rice                       12.68
0.879195 0.166667 0.131783 0.494118       0.064813        0.584615     0.899667  0.330110  0.619369        0.222857    0.702353    Cotton                        9.86
